URL,Page Type,Product Name,Brand,Price,Discounted Price,Position,Number of Photos,Number of Colors,Product Description
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk print paars,,"€59,99",,1,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk ruffles print blauw,,"€49,99",,2,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk lang print groen,,"€64,99",,3,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk print paars,,"€59,99",,4,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk lang print groen,,"€59,99",,5,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk lang print zwart,,"€59,99",,6,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk print paars,,"€44,99",,7,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk print blauw,,"€59,99",,8,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk print zwart,,"€59,99",,9,,,
https://www.missetam.nl/nl/collectie/jurken/,list,Jurk print wit,,"€59,99",,10,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Blouse met print van satijn,,"€ 25,-","€ 19,-",1,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Tuniek met 3/4-mouwen,,"€ 19,-","€ 10,-",2,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Comfortabele blouse,,"€ 23,-","€ 15,-",3,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Comfortabele blouse,,"€ 19,-","€ 10,-",4,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Comfortabele blouse,,"€ 20,-","€ 13,-",5,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Longline blouse,,"€ 25,-","€ 15,-",6,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Jeansblouse met franjes aan de zoom,,"€ 25,-","€ 15,-",7,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Lange blouse in A-lijn,,"€ 25,-","€ 15,-",8,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Blouse met ruches,,"€ 23,-","€ 20,-",9,,,
https://www.your-look-for-less.nl/goedkope-blouses,list,Comfortabele blouse,,"€ 23,-","€ 11,-",10,,,
https://www.gap.com/browse/product.do?pid=794603002&rrec=true&mlink=50011dynamicerror_gapoos1_rr_2&clink=1#pdp-page-content,product,Mid Rise Girlfriend Jeans,GAP,$62.00,39.00,,10,4,"Our perfectly easy jean with a little stretch & major laid-back energy. This one is giving comfy & cool, slim & chill— all in one."
https://www.your-look-for-less.nl/p/99055,product,Shirt met korte mouwen,Your Look for Less,"€ 11,-",,,4,5,"Het shirt met korte mouwen heeft een frisse look dankzij de contrastkleurige, geribde sierband bij de V-hals en de mouwboord. Trendy model met kapmouwen."
https://www.missetam.nl/nl/3848152/jurk-print-paars/?soPos=467,product,Jurk print paars,Miss Etam,"59,99",,,2,1,"Voeg een vleugje zomerse elegantie toe aan je garderobe met deze prachtige mouwloze jurk. De jurk valt soepel en komt tot over de knieën, waardoor hij zowel comfortabel als stijlvol is. De opvallende print geeft de jurk een unieke en vrolijke uitstraling, perfect voor zonnige dagen. Of je nu een dagje naar het strand gaat of een zomers feestje hebt, met deze jurk maak je altijd een verpletterende indruk."
